"Id","Name","Description","AlertingPolicy","Priority","FullProtectionSlaTimeMins","IsActive","PolicyName","PolicyDaysToKeep","PolicyDescription","LastBackupRunStatus","LastBackupRunName","LastBackupStartTime","LastBackupEndTime","LastBackupElapsedTime","LastBackupTotalSourceSizeGB","LastBackupTotalLogicalBackupSizeGB","LastCopyRunStatus","LastCopyRunName","LastCopyStartTime","LastCopyEndTime","LastCopyElapsedTime","LastCopyLogicalGBTransferred","LastCopyTotalLogicalSizeGB","TotalLogicalBackupSizeGB","SummaryAverageRuntime","SummaryFastestRunTime","SummarySlowestRunTime","SummaryNumSuccessfulRuns","SummaryTotalLogicalBackupSizeGB"
"295007","nas_unity600_fs068",,"KFailure","KMedium","420",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-a-01\fs068","3/12/2020 10:49:00 PM","3/12/2020 11:59:14 PM","01:10:14","0","2085.3","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"2085.3","01:10:14","01:10:14","01:10:14","1","2085.3"
"295034","nas_unity600_fs116",,"KFailure","KMedium","420",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-b-01\fs116","3/12/2020 10:50:00 PM","3/12/2020 10:50:12 PM","00:00:12","0","0.04","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"0.04","00:00:12","00:00:12","00:00:12","1","0.04"
"295061","nas_unity600_fs122",,"KFailure","KMedium","120",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-a-01\fs122","3/12/2020 10:51:00 PM","3/12/2020 11:01:14 PM","00:10:14","0","105.73","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"105.73","00:10:14","00:10:14","00:10:14","1","105.73"
"295075","nas_unity600_fs123_snapshot",,"KFailure","KMedium","420",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-a-01\fs123","3/12/2020 10:52:01 PM","3/12/2020 10:54:02 PM","00:02:01","0","9.74","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"9.74","00:02:01","00:02:01","00:02:01","1","9.74"
"429842","nas_unity600_fs205",,"KFailure","KMedium","720",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-a-01\fs205","3/12/2020 7:03:01 PM","3/12/2020 9:55:42 PM","02:52:41","0","568.18","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"568.18","02:52:41","02:52:41","02:52:41","1","568.18"
"429857","nas_unity600_fs206",,"KFailure","KMedium","120",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-b-01\fs206","3/13/2020 1:04:01 AM","3/13/2020 1:12:41 AM","00:08:40","0","58.89","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"58.89","00:08:40","00:08:40","00:08:40","1","58.89"
"429886","nas_unity600_fs302_snapshot",,"KFailure","KMedium","720",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-a-01\fs302","3/12/2020 6:00:01 PM","3/12/2020 9:15:19 PM","03:15:18","0","493.38","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"493.38","03:15:17","03:15:17","03:15:17","1","493.38"
"429903","nas_unity600_fs405",,"KFailure","KMedium","420",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-a-01\fs405","3/12/2020 11:06:00 PM","3/12/2020 11:10:11 PM","00:04:11","0","14.6","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"14.6","00:04:11","00:04:11","00:04:11","1","14.6"
"429923","nas_unity600_fs496",,"KFailure","KMedium","420",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-a-01\fs496","3/13/2020 1:06:00 AM","3/13/2020 1:07:04 AM","00:01:04","0","3309.84","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"3309.84","00:01:04","00:01:04","00:01:04","1","3309.84"
"492477","nas_unity600_fsdc01_snapshot",,"KFailure","KMedium","720",,"unity600_13month","390",,"KSuccess","\\nas0641-a-01\fsdc01","3/12/2020 6:43:00 PM","3/12/2020 11:27:44 PM","04:44:44","0","8477.08","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"8477.08","04:44:44","04:44:44","04:44:44","1","8477.08"
"492511","nas_unity600_fsdc02_snapshot",,"KFailure","KMedium","720",,"unity600_13month","390",,"KSuccess","\\nas0641-a-01\fsdc02","3/12/2020 9:45:00 PM","3/12/2020 10:45:42 PM","01:00:42","0","7074.53","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"7074.53","01:00:41","01:00:41","01:00:41","1","7074.53"
"492634","nas_unity600_sbnas-fs01p",,"KFailure","KMedium","120",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-a-01\sbnas-fs01p","3/13/2020 5:51:01 AM","3/13/2020 6:36:57 AM","00:45:56","0","1785.83","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"1785.83","00:45:55","00:45:55","00:45:55","1","1785.83"
"492659","nas_unity600_talg-fs01p",,"KFailure","KMedium","420",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-a-01\talg-fs01p","3/12/2020 9:52:01 PM","3/12/2020 9:52:34 PM","00:00:33","0","2061.03","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"2061.03","00:00:33","00:00:33","00:00:33","1","2061.03"
"1080607","VM_Prod_6PM",,"KFailure","KHigh","720",,"Bronze_NoBlackout","45",,"KSuccess","AP711","3/12/2020 6:00:01 PM","3/12/2020 11:54:30 PM","05:54:29","283380.62","260104.02","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"260104.02","05:54:29","05:54:29","05:54:29","1","260104.02"
"1615126","Remote_Office_Richmond_File",,"KFailure","KMedium","720",,"prod_file_repl_az","45",,"KSuccess","mgmt165.sigi.us.selective.com","3/12/2020 10:00:01 PM","3/12/2020 10:14:27 PM","00:14:26","273.39","74.83","KSuccess","mgmt165.sigi.us.selective.com","3/12/2020 10:16:09 PM","3/12/2020 10:20:13 PM","00:04:04","0.47","88.28","74.83","00:14:25","00:14:25","00:14:25","1","74.83"
"1708311","tsm_prod_view_protect",,"KFailure","KMedium","120",,"view_protection_prod","45",,,"mgmt165.sigi.us.selective.com","3/12/2020 10:00:01 PM","3/12/2020 10:14:27 PM","00:14:26","273.39","74.83","KSuccess",,"3/12/2020 10:16:09 PM","3/12/2020 10:20:13 PM","00:04:04","0.47","88.28","74.83","00:14:25","00:14:25","00:14:25",,"74.83"
"1794036","test_file_15d",,"KFailure","KMedium","720",,"file_test","15",,"KSuccess","IMIF-AP01L","3/13/2020 12:49:02 AM","3/13/2020 1:06:08 AM","00:17:06","884.73","294.38","KSuccess",,"3/12/2020 10:16:09 PM","3/12/2020 10:20:13 PM","00:04:04","0.47","88.28","294.38","00:17:06","00:17:06","00:17:06","1","294.38"
